graph,algorithm,n_candidates,n_infected,reliable,n_runs,auc_roc,auc_pr,precision_at_k,recall_at_k,hits_at_k,brier
DLG1,degree_anomaly,13,1,False,3,0.44748769748769746,0.19598097375875156,0.0,0.0,0.0,0.11084107386393333
DLG1,boundary,13,1,False,3,0.504176379176379,0.12226477226477228,0.37037037037037035,0.37037037037037035,0.37037037037037035,0.7912291412291412
DLG1,low_job_connectivity,13,1,False,3,0.4284080117413451,0.12256616839950173,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.21574346538235428
DLG1,completeness,13,1,False,3,0.5,0.11743996743996744,0.37037037037037035,0.37037037037037035,0.37037037037037035,0.11743996743996744
DLG1,rule_root,13,1,False,3,0.6056073556073556,0.20066137566137565,0.37037037037037035,0.37037037037037035,0.37037037037037035,0.4398860398860399
DLG1,RandomForest,13,1,False,3,0.5129284295950963,0.24523932857266192,0.12962962962962962,0.12962962962962962,0.12962962962962962,0.13293450542871085
DLG1,RUSBoost,13,1,False,3,0.4782763532763533,0.11743996743996744,0.37037037037037035,0.37037037037037035,0.37037037037037035,0.13353195376764304
DLG1,LightGBM,13,1,False,3,0.5245186911853579,0.2815295815295815,0.12962962962962962,0.12962962962962962,0.12962962962962962,0.1627661047055677
DLG1,LineageDetector,13,1,False,3,0.5394759561426228,0.3329738163071496,0.18518518518518517,0.18518518518518517,0.18518518518518517,0.10982183319434531
DLG2,degree_anomaly,21,1,False,3,0.46897697796721377,0.17406429041044424,0.10256410256410256,0.10256410256410256,0.10256410256410256,0.08106563896295554
DLG2,boundary,21,1,False,3,0.553238153976425,0.09915880043589022,0.14102564102564102,0.14102564102564102,0.14102564102564102,0.7514298566930145
DLG2,low_job_connectivity,21,1,False,3,0.25197391320277723,0.08808304698397579,0.14102564102564102,0.14102564102564102,0.14102564102564102,0.22831198963795213
DLG2,completeness,21,1,False,3,0.5788349077822763,0.26650279545016387,0.25641025641025644,0.25641025641025644,0.25641025641025644,0.07853179958443117
DLG2,rule_root,21,1,False,3,0.5346831663216517,0.09809613463459617,0.10256410256410256,0.10256410256410256,0.10256410256410256,0.5575187969924811
DLG2,RandomForest,21,1,False,3,0.7137308503109885,0.5035714285714286,0.38461538461538464,0.38461538461538464,0.38461538461538464,0.10611016578441834
DLG2,RUSBoost,21,1,False,3,0.6807888732156415,0.44236874236874235,0.41025641025641024,0.41025641025641024,0.41025641025641024,0.07414186818313978
DLG2,LightGBM,21,1,False,3,0.7475219645974588,0.5187440010969422,0.38461538461538464,0.38461538461538464,0.38461538461538464,0.18370083618038915
DLG2,LineageDetector,21,1,False,3,0.7619486460281888,0.5519787402140343,0.4230769230769231,0.4230769230769231,0.4230769230769231,0.07996653776778327
DLG3,degree_anomaly,26,3,False,3,0.3848797074000878,0.14179161510757707,0.027083333333333334,0.027083333333333334,0.027083333333333334,0.07290216953544965
DLG3,boundary,26,3,False,3,0.5216719798920886,0.09027861027861028,0.049999999999999996,0.049999999999999996,0.049999999999999996,0.7564476495726495
